path,binom_value,binom_values-corr,genes_in_pathway,signi_genes_in_pathway
path:mmu00010,1.0,1.0,61,0.0
path:mmu00020,1.0,1.0,31,0.0
path:mmu00030,1.0,1.0,30,0.0
path:mmu00040,1.0,1.0,24,0.0
path:mmu00051,1.0,1.0,33,0.0
path:mmu00052,1.0,1.0,30,0.0
path:mmu00053,1.0,1.0,19,0.0
path:mmu00061,1.0,1.0,14,0.0
path:mmu00062,0.15543261411131143,1.0,25,1.0
path:mmu00071,1.0,1.0,45,0.0
path:mmu00072,1.0,1.0,11,0.0
path:mmu00100,1.0,1.0,18,0.0
path:mmu00120,1.0,1.0,16,0.0
path:mmu00130,1.0,1.0,11,0.0
path:mmu00140,4.778557233958511e-08,7.789048291352372e-06,75,8.0
path:mmu00190,0.5402541580105426,1.0,115,1.0
path:mmu00220,1.0,1.0,19,0.0
path:mmu00230,0.5494801541026797,1.0,118,1.0
path:mmu00232,1.0,1.0,6,0.0
path:mmu00240,0.30572727801699867,1.0,54,1.0
path:mmu00250,1.0,1.0,36,0.0
path:mmu00260,1.0,1.0,40,0.0
path:mmu00270,1.0,1.0,45,0.0
path:mmu00280,1.0,1.0,53,0.0
path:mmu00290,1.0,1.0,4,0.0
path:mmu00310,1.0,1.0,42,0.0
path:mmu00330,1.0,1.0,44,0.0
path:mmu00340,1.0,1.0,20,0.0
path:mmu00350,1.0,1.0,35,0.0
path:mmu00360,1.0,1.0,21,0.0
path:mmu00380,1.0,1.0,42,0.0
path:mmu00400,1.0,1.0,7,0.0
path:mmu00410,1.0,1.0,30,0.0
path:mmu00430,0.07163428177840546,1.0,11,1.0
path:mmu00440,1.0,1.0,5,0.0
path:mmu00450,1.0,1.0,15,0.0
path:mmu00471,1.0,1.0,3,0.0
path:mmu00472,1.0,1.0,1,0.0
path:mmu00480,0.06029130114319709,1.0,59,2.0
path:mmu00500,1.0,1.0,27,0.0
path:mmu00510,1.0,1.0,48,0.0
path:mmu00511,1.0,1.0,18,0.0
path:mmu00512,1.0,1.0,23,0.0
path:mmu00514,1.0,1.0,15,0.0
path:mmu00515,1.0,1.0,16,0.0
path:mmu00520,1.0,1.0,48,0.0
path:mmu00524,1.0,1.0,5,0.0
path:mmu00531,1.0,1.0,21,0.0
path:mmu00532,1.0,1.0,20,0.0
path:mmu00533,1.0,1.0,14,0.0
path:mmu00534,1.0,1.0,24,0.0
path:mmu00561,0.29150957489421003,1.0,51,1.0
path:mmu00562,1.0,1.0,73,0.0
path:mmu00563,1.0,1.0,25,0.0
path:mmu00564,1.0,1.0,85,0.0
path:mmu00565,1.0,1.0,42,0.0
path:mmu00590,0.002586388269520274,0.16863251517272188,84,4.0
path:mmu00591,1.678844939403462e-05,0.0013682586256138214,47,5.0
path:mmu00592,1.0,1.0,25,0.0
path:mmu00600,0.028500971151088128,1.0,39,2.0
path:mmu00601,1.0,1.0,26,0.0
path:mmu00603,1.0,1.0,16,0.0
path:mmu00604,1.0,1.0,15,0.0
path:mmu00620,1.0,1.0,37,0.0
path:mmu00630,0.17238105538059476,1.0,28,1.0
path:mmu00640,1.0,1.0,30,0.0
path:mmu00650,1.0,1.0,27,0.0
path:mmu00670,1.0,1.0,18,0.0
path:mmu00730,1.0,1.0,12,0.0
path:mmu00740,1.0,1.0,8,0.0
path:mmu00750,1.0,1.0,8,0.0
path:mmu00760,0.17238105538059476,1.0,28,1.0
path:mmu00770,0.11452419130329318,1.0,18,1.0
path:mmu00780,1.0,1.0,3,0.0
path:mmu00785,1.0,1.0,2,0.0
path:mmu00790,1.0,1.0,26,0.0
path:mmu00830,9.147058589176367e-07,9.939803666904985e-05,76,7.0
path:mmu00860,1.0,1.0,33,0.0
path:mmu00900,1.0,1.0,22,0.0
path:mmu00910,1.0,1.0,17,0.0
path:mmu00920,1.0,1.0,8,0.0
path:mmu00970,1.0,1.0,43,0.0
path:mmu00980,0.05324780141047736,1.0,55,2.0
path:mmu00982,0.05497959939620954,1.0,56,2.0
path:mmu00983,0.07719555636666126,1.0,68,2.0
path:mmu01040,0.17238105538059476,1.0,28,1.0
path:mmu01100,0.04735676988281321,1.0,1189,14.0
path:mmu01200,0.5276582644023358,1.0,111,1.0
path:mmu01210,1.0,1.0,18,0.0
path:mmu01212,0.3010200314308337,1.0,53,1.0
path:mmu01230,1.0,1.0,72,0.0
path:mmu01521,1.0,1.0,77,0.0
path:mmu01522,1.0,1.0,91,0.0
path:mmu01523,0.17795461489143458,1.0,29,1.0
path:mmu01524,0.0953764480712301,1.0,77,2.0
path:mmu02010,1.0,1.0,48,0.0
path:mmu03008,1.0,1.0,71,0.0
path:mmu03010,1.0,1.0,127,0.0
path:mmu03013,0.6310079419813487,1.0,152,0.0
path:mmu03015,1.0,1.0,84,0.0
path:mmu03018,1.0,1.0,70,0.0
path:mmu03020,1.0,1.0,28,0.0
path:mmu03022,1.0,1.0,42,0.0
path:mmu03030,1.0,1.0,35,0.0
path:mmu03040,1.0,1.0,110,0.0
path:mmu03050,1.0,1.0,44,0.0
path:mmu03060,1.0,1.0,24,0.0
path:mmu03320,0.01822971022663993,0.7428606917355771,82,3.0
path:mmu03410,1.0,1.0,33,0.0
path:mmu03420,1.0,1.0,43,0.0
path:mmu03430,1.0,1.0,22,0.0
path:mmu03440,1.0,1.0,35,0.0
path:mmu03450,1.0,1.0,13,0.0
path:mmu03460,1.0,1.0,43,0.0
path:mmu04010,1.0,1.0,284,1.0
path:mmu04012,1.0,1.0,82,0.0
path:mmu04014,0.41343892951250677,1.0,226,0.0
path:mmu04015,0.6521499887578331,1.0,205,0.0
path:mmu04020,0.6406625812036295,1.0,185,0.0
path:mmu04022,0.633959897143709,1.0,168,0.0
path:mmu04024,0.652807165623577,1.0,206,0.0
path:mmu04060,0.26326523666223817,1.0,264,3.0
path:mmu04062,1.0,1.0,175,1.0
path:mmu04064,0.11902732666491973,1.0,88,2.0
path:mmu04066,1.0,1.0,98,0.0
path:mmu04068,1.0,1.0,131,0.0
path:mmu04070,1.0,1.0,93,0.0
path:mmu04071,0.17697070230102066,1.0,113,2.0
path:mmu04072,0.6169258371500912,1.0,142,1.0
path:mmu04080,0.5053630357811673,1.0,343,3.0
path:mmu04110,0.5402541580105426,1.0,115,1.0
path:mmu04114,1.0,1.0,110,0.0
path:mmu04115,1.0,1.0,67,0.0
path:mmu04120,1.0,1.0,127,0.0
path:mmu04122,1.0,1.0,6,0.0
path:mmu04130,1.0,1.0,32,0.0
path:mmu04136,1.0,1.0,30,0.0
path:mmu04137,1.0,1.0,58,0.0
path:mmu04140,1.0,1.0,120,0.0
path:mmu04141,0.6311711400709538,1.0,154,0.0
path:mmu04142,0.5644472218608593,1.0,123,1.0
path:mmu04144,0.4176597589291098,1.0,239,0.0
path:mmu04145,0.295301823472876,1.0,161,2.0
path:mmu04146,0.41758871564817956,1.0,80,1.0
path:mmu04150,0.614328551547147,1.0,141,1.0
path:mmu04151,0.18273799510374467,1.0,343,0.0
path:mmu04152,0.20121635543346905,1.0,123,2.0
path:mmu04210,0.5901460372003383,1.0,132,1.0
path:mmu04211,0.44449574894533195,1.0,87,1.0
path:mmu04213,1.0,1.0,60,0.0
path:mmu04215,1.0,1.0,32,0.0
path:mmu04216,1.0,1.0,40,0.0
path:mmu04217,0.6195056314595253,1.0,143,1.0
path:mmu04218,1.0,1.0,168,1.0
path:mmu04260,1.0,1.0,71,0.0
path:mmu04261,1.0,1.0,143,0.0
path:mmu04270,1.0,1.0,134,0.0
path:mmu04310,0.6312761364452024,1.0,155,0.0
path:mmu04330,1.0,1.0,49,0.0
path:mmu04340,1.0,1.0,42,0.0
path:mmu04350,0.12347151000089329,1.0,90,2.0
path:mmu04360,1.0,1.0,178,1.0
path:mmu04370,1.0,1.0,56,0.0
path:mmu04371,1.0,1.0,133,0.0
path:mmu04380,0.1721774660483903,1.0,111,2.0
path:mmu04390,1.0,1.0,147,0.0
path:mmu04392,1.0,1.0,23,0.0
path:mmu04510,0.6421634636325828,1.0,188,0.0
path:mmu04512,0.40966431515698154,1.0,78,1.0
path:mmu04514,0.6308748324127311,1.0,148,0.0
path:mmu04520,1.0,1.0,65,0.0
path:mmu04530,0.63184715499993,1.0,159,0.0
path:mmu04540,1.0,1.0,78,0.0
path:mmu04550,1.0,1.0,135,0.0
path:mmu04610,0.42927631288711166,1.0,83,1.0
path:mmu04611,1.0,1.0,118,0.0
path:mmu04612,0.3975750925156062,1.0,75,1.0
path:mmu04614,0.19987602354875603,1.0,33,1.0
path:mmu04620,0.4701596943073668,1.0,94,1.0
path:mmu04621,1.0,1.0,166,1.0
path:mmu04622,0.3554610058145895,1.0,65,1.0
path:mmu04623,1.0,1.0,58,0.0
path:mmu04625,0.5276582644023358,1.0,111,1.0
path:mmu04630,1.0,1.0,154,1.0
path:mmu04640,0.11902732666491973,1.0,88,2.0
path:mmu04650,0.5047793849279996,1.0,104,1.0
path:mmu04657,0.11902732666491973,1.0,88,2.0
path:mmu04658,1.0,1.0,85,0.0
path:mmu04659,1.0,1.0,100,0.0
path:mmu04660,0.49121157069167043,1.0,100,1.0
path:mmu04662,1.0,1.0,68,0.0
path:mmu04664,0.3554610058145895,1.0,65,1.0
path:mmu04666,1.0,1.0,80,0.0
path:mmu04668,0.1626582700294855,1.0,107,2.0
path:mmu04670,1.0,1.0,107,0.0
path:mmu04672,0.2316669440646078,1.0,39,1.0
path:mmu04710,0.18349063953695638,1.0,30,1.0
path:mmu04713,0.4701596943073668,1.0,94,1.0
path:mmu04714,1.0,1.0,200,1.0
path:mmu04720,1.0,1.0,64,0.0
path:mmu04721,0.4056617732895268,1.0,77,1.0
path:mmu04722,1.0,1.0,119,0.0
path:mmu04723,0.6037621122479602,1.0,137,1.0
path:mmu04724,0.5212314914634336,1.0,109,1.0
path:mmu04725,1.0,1.0,109,0.0
path:mmu04726,0.208564522111993,1.0,126,2.0
path:mmu04727,0.44449574894533195,1.0,87,1.0
path:mmu04728,1.0,1.0,125,0.0
path:mmu04730,1.0,1.0,55,0.0
path:mmu04740,0.5702517599315855,1.0,1035,5.0
path:mmu04742,1.0,1.0,85,0.0
path:mmu04744,1.0,1.0,27,0.0
path:mmu04750,0.18419851780610993,1.0,116,2.0
path:mmu04810,0.6541421698831349,1.0,208,0.0
path:mmu04910,1.0,1.0,136,0.0
path:mmu04911,1.0,1.0,85,0.0
path:mmu04912,1.0,1.0,89,0.0
path:mmu04913,1.0,1.0,55,0.0
path:mmu04914,1.0,1.0,86,0.0
path:mmu04915,0.5873671815631696,1.0,131,1.0
path:mmu04916,1.0,1.0,97,0.0
path:mmu04917,1.0,1.0,71,0.0
path:mmu04918,0.385238300046038,1.0,72,1.0
path:mmu04919,0.17697070230102066,1.0,113,2.0
path:mmu04920,0.08312478712887396,1.0,71,2.0
path:mmu04921,0.6308748324127311,1.0,148,0.0
path:mmu04922,1.0,1.0,97,0.0
path:mmu04923,0.31504688250706187,1.0,56,1.0
path:mmu04924,1.0,1.0,67,0.0
path:mmu04925,1.0,1.0,100,0.0
path:mmu04926,1.0,1.0,126,0.0
path:mmu04927,1.0,1.0,68,0.0
path:mmu04928,1.0,1.0,105,0.0
path:mmu04930,0.27209869783559715,1.0,47,1.0
path:mmu04931,0.16029357906843958,1.0,106,2.0
path:mmu04932,0.6169258371500912,1.0,142,1.0
path:mmu04933,0.4842888969944842,1.0,98,1.0
path:mmu04934,0.6312761364452024,1.0,155,0.0
path:mmu04940,0.31504688250706187,1.0,56,1.0
path:mmu04950,1.0,1.0,27,0.0
path:mmu04960,1.0,1.0,37,0.0
path:mmu04961,1.0,1.0,53,0.0
path:mmu04962,1.0,1.0,43,0.0
path:mmu04964,1.0,1.0,22,0.0
path:mmu04966,0.16676970651385858,1.0,27,1.0
path:mmu04970,1.0,1.0,75,0.0
path:mmu04971,1.0,1.0,73,0.0
path:mmu04972,1.0,1.0,96,0.0
path:mmu04973,1.0,1.0,38,0.0
path:mmu04974,1.0,1.0,85,0.0
path:mmu04975,0.22121285601816085,1.0,37,1.0
path:mmu04976,1.0,1.0,68,0.0
path:mmu04977,0.13813709323090298,1.0,22,1.0
path:mmu04978,1.0,1.0,44,0.0
path:mmu04979,0.27209869783559715,1.0,47,1.0
path:mmu05010,1.0,1.0,163,1.0
path:mmu05012,1.0,1.0,120,0.0
path:mmu05014,0.29628086918714475,1.0,52,1.0
path:mmu05016,1.0,1.0,163,1.0
path:mmu05020,1.0,1.0,34,0.0
path:mmu05030,1.0,1.0,47,0.0
path:mmu05031,1.0,1.0,65,0.0
path:mmu05032,0.440729368088673,1.0,86,1.0
path:mmu05033,0.23684124564293935,1.0,40,1.0
path:mmu05034,0.25556439135182035,1.0,145,2.0
path:mmu05100,1.0,1.0,72,0.0
path:mmu05132,1.0,1.0,76,0.0
path:mmu05133,0.38937838280025056,1.0,73,1.0
path:mmu05134,0.3010200314308337,1.0,53,1.0
path:mmu05140,0.34226177764354043,1.0,62,1.0
path:mmu05142,0.49804131753341696,1.0,102,1.0
path:mmu05143,0.19987602354875603,1.0,33,1.0
path:mmu05144,0.03412598334004441,1.0,43,2.0
path:mmu05145,0.49463798161134886,1.0,101,1.0
path:mmu05146,0.49463798161134886,1.0,101,1.0
path:mmu05150,0.34226177764354043,1.0,62,1.0
path:mmu05152,0.3249110535852994,1.0,173,2.0
path:mmu05160,1.0,1.0,153,1.0
path:mmu05161,1.0,1.0,157,1.0
path:mmu05162,1.0,1.0,130,0.0
path:mmu05163,0.6752294029111032,1.0,236,2.0
path:mmu05164,1.0,1.0,161,1.0
path:mmu05165,1.0,1.0,335,2.0
path:mmu05166,0.6703900576803341,1.0,230,2.0
path:mmu05167,1.0,1.0,198,1.0
path:mmu05168,1.0,1.0,333,2.0
path:mmu05169,1.0,1.0,209,1.0
path:mmu05170,0.6568913812976237,1.0,212,2.0
path:mmu05200,0.4111147087331135,1.0,523,5.0
path:mmu05202,0.3101397427621941,1.0,167,2.0
path:mmu05203,0.39483048685424593,1.0,202,2.0
path:mmu05204,3.835065771221536e-09,1.2502314414182205e-06,79,9.0
path:mmu05205,0.1454020268880185,1.0,195,3.0
path:mmu05206,0.6117136560577698,1.0,140,1.0
path:mmu05210,1.0,1.0,86,0.0
path:mmu05211,1.0,1.0,64,0.0
path:mmu05212,1.0,1.0,75,0.0
path:mmu05213,1.0,1.0,56,0.0
path:mmu05214,1.0,1.0,73,0.0
path:mmu05215,0.13475042116720004,1.0,95,2.0
path:mmu05216,0.21061652762940583,1.0,35,1.0
path:mmu05217,1.0,1.0,62,0.0
path:mmu05218,1.0,1.0,71,0.0
path:mmu05219,1.0,1.0,40,0.0
path:mmu05220,1.0,1.0,75,0.0
path:mmu05221,1.0,1.0,66,0.0
path:mmu05222,1.0,1.0,91,0.0
path:mmu05223,1.0,1.0,64,0.0
path:mmu05224,1.0,1.0,145,0.0
path:mmu05225,0.3126067629601112,1.0,168,2.0
path:mmu05226,0.6308748324127311,1.0,148,0.0
path:mmu05230,1.0,1.0,60,0.0
path:mmu05231,1.0,1.0,93,0.0
path:mmu05310,0.13813709323090298,1.0,22,1.0
path:mmu05320,1.0,1.0,62,0.0
path:mmu05321,0.31504688250706187,1.0,56,1.0
path:mmu05322,0.11462447689443231,1.0,86,2.0
path:mmu05323,0.017079697910858192,0.7428606917355771,80,3.0
path:mmu05330,0.2818697172479664,1.0,49,1.0
path:mmu05332,0.28670593069314704,1.0,50,1.0
path:mmu05340,1.0,1.0,35,0.0
path:mmu05410,0.4331198237867231,1.0,84,1.0
path:mmu05412,1.0,1.0,70,0.0
path:mmu05414,0.44823676529338274,1.0,88,1.0
path:mmu05416,1.0,1.0,72,0.0
path:mmu05418,0.016038819598969058,0.7428606917355771,142,4.0
